"","gene","probe","T1","T2","T3","C1","C2","C3"
"517",47,11,34.2,82.05,23.86,21.53,94.42,62.21
"518",48,1,14.73,10.58,12.41,9.23,6.8,11.01
"519",48,2,9.79,17.35,9.9,16.7,7.9,16.74
"520",48,3,11.3,12.98,18.26,12.33,9.22,10.1
"521",48,4,8.13,14.1,7.68,6.88,14.03,5.77
"522",48,5,7.77,11.95,10.42,7.03,10.49,8.11
"523",48,6,9.79,14.1,9.85,11.19,13.12,10.1
"524",48,7,21.64,33.14,10.72,13.93,20.34,16.35
"525",48,8,32.21,21.03,12.95,32.11,15.91,16.35
"526",48,9,8.13,10.17,9.32,8.03,6.2,8
"527",48,10,9.79,9.4,10.89,11.19,8.13,8
"528",48,11,11.3,7.26,11.72,14.48,5.77,4.7
"529",49,1,6.41,12.98,10.28,4.91,13.42,16.58
"530",49,2,66.18,57.05,19.15,56.88,68.22,28
"531",49,3,18.18,25.54,9.24,13.59,9.62,7.48
"532",49,4,60.48,71.05,56.47,62.08,59.72,54.91
"533",49,5,12.44,13.53,16.62,14.27,18.94,11.39
"534",49,6,12.63,17.56,10.83,7.03,17.15,8.89
"535",49,7,185.98,200.05,190.32,172.08,164.42,210.21
"536",49,8,147.18,188.85,148.52,143.08,147.72,182.91
"537",49,9,604.68,519.05,509.52,481.08,536.42,529.91
"538",49,10,318.48,341.05,346.02,281.08,325.42,321.91
"539",49,11,112.18,101.05,61.59,111.08,124.72,90.21
"540",50,1,80.68,111.55,105.02,144.38,80.92,70.41
"541",50,2,23.48,11.47,9.16,21.53,10.05,17.78
"542",50,3,112.18,87.85,86.02,84.58,78.42,93.91
"543",50,4,191.48,192.05,141.52,167.88,128.42,185.91
"544",50,5,7.12,8.39,11.21,5.95,5.35,5.94
"545",50,6,55.48,58.05,43.8,55.08,58.42,53.91
"546",50,7,50.68,74.05,30.47,45.09,61.42,69.91
"547",50,8,48.18,53.05,33.91,63.58,67.42,72.91
"548",50,9,6.54,7.09,6.71,7.03,4.66,5.7
"549",50,10,8.51,9.05,9.16,10.15,8.65,6.01
"550",50,11,327.18,312.35,219.52,267.58,245.22,273.91
"551",51,1,434.18,402.85,307.32,357.88,393.22,294.71
"552",51,2,91.18,158.05,100.52,90.08,155.92,104.91
"553",51,3,69.48,95.55,29.74,64.08,71.72,45.91
"554",51,4,320.18,344.35,240.52,245.08,313.42,198.91
"555",51,5,110.18,84.05,121.02,115.58,147.42,113.41
"556",51,6,82.48,66.35,22.32,53.58,73.72,44.21
"557",51,7,7.54,7.39,6.69,6.19,11.47,6.86
"558",51,8,22.55,13.53,12.21,20.9,48.42,31.94
"559",51,9,571.18,664.35,556.02,530.08,559.42,539.91
"560",51,10,409.18,344.35,380.02,322.38,426.42,335.91
"561",51,11,233.18,282.05,242.82,223.38,214.92,208.21
"562",52,1,108.48,107.05,60.11,86.08,103.92,104.91
"563",52,2,82.18,87.05,109.02,87.58,100.42,119.41
"564",52,3,63.18,146.85,45.18,68.08,61.42,47.91
"565",52,4,29.25,51.35,9.72,29.14,30.51,17.94
"566",52,5,9.34,20.38,11.04,14.27,33.46,12.87
"567",52,6,25.36,30.52,15.87,22.44,39.43,14.17
"568",52,7,28.27,30.23,18.92,29.14,13.72,10.1
"569",52,8,11.86,9.78,13.96,6.19,7.21,5.49
"570",52,9,50.48,48.05,29.03,27.19,66.22,71.21
"571",52,10,7.6,9.05,9.16,8.81,6.2,5.28
"572",52,11,4.49,8.39,8.55,6.19,5.21,5.55
"573",53,1,8.24,8.81,6.96,5.49,5.77,4
"574",53,2,4.46,4.52,6.89,4.46,21.89,4
"575",53,3,5.37,8.98,8.13,4.17,5.04,6.95
"576",53,4,332.18,342.35,215.02,326.88,296.42,228.21
"577",53,5,100.18,86.85,123.02,97.08,90.92,98.41
"578",53,6,285.48,253.05,267.82,232.08,231.42,230.91
"579",53,7,471.48,516.05,418.02,487.88,438.72,426.91
"580",53,8,1209.68,1323.05,871.02,1109.08,1026.42,855.91
"581",53,9,793.18,692.05,521.02,633.58,594.42,510.21
"582",53,10,468.68,547.35,309.02,336.08,435.72,358.91
"583",53,11,263.18,357.05,186.02,227.08,244.42,157.91
"584",54,1,138.68,171.05,81.02,160.08,97.42,119.91
"585",54,2,183.68,215.35,117.02,155.38,105.42,170.21
"586",54,3,48.48,98.35,40.21,51.08,42.93,30.95
"587",54,4,52.18,58.55,12.95,49.08,35.94,31.94
"588",54,5,116.18,86.05,47.98,106.08,79.92,65.21
"589",54,6,35.49,34.12,45.92,35.09,37.44,21.39
"590",54,7,61.18,52.55,63.07,62.88,68.92,31.44
"591",54,8,80.18,93.05,17.01,96.58,76.42,32.93
"592",54,9,66.18,78.05,22.71,64.08,61.72,34.92
"593",54,10,82.68,122.35,71.04,58.08,78.92,61.91
"594",54,11,7.44,9.05,15.98,17.25,6.93,11.67
"595",55,1,40.18,34.12,13.43,36.09,26.65,17.13
"596",55,2,285.98,545.05,188.82,334.08,368.42,299.71
"597",55,3,182.18,143.35,52.28,156.08,89.72,93.41
"598",55,4,57.18,41.56,18.26,48.08,43.43,25.39
"599",55,5,11.74,11.02,7.51,11.74,4.59,6.66
"600",55,6,113.48,89.05,49.21,107.08,12.54,47.91
"601",55,7,205.18,155.05,92.02,171.08,216.42,134.91
"602",55,8,282.18,290.35,179.02,243.38,280.92,167.21
"603",55,9,104.68,83.35,40.47,87.08,50.72,57.71
"604",55,10,32.7,46.05,13.23,32.11,35.45,20.49
"605",55,11,15.09,16.65,11.56,26.22,24.59,11.96
"606",56,1,24.42,12.45,16.23,11.19,15.7,8
"607",56,2,138.48,181.85,107.02,121.58,122.72,187.91
"608",56,3,174.18,197.35,122.02,148.08,136.42,177.91
"609",56,4,68.68,64.05,48.45,66.58,70.42,84.21
"610",56,5,112.98,118.85,112.82,96.58,123.22,103.91
"611",56,6,63.18,94.05,44.25,64.08,80.42,42.91
"612",56,7,8.51,12.61,9.76,7.96,5.57,4.91
"613",56,8,56.18,26.46,14.92,61.08,64.42,30.75
"614",56,9,1793.18,1838.05,1375.02,1564.08,1497.92,1379.91
"615",56,10,454.98,505.85,344.02,439.88,497.42,342.91
"616",56,11,8.06,16.65,13.57,7.68,15.7,6.95
"617",57,1,254.68,264.35,224.02,238.08,219.22,259.41
"618",57,2,230.68,149.05,125.52,178.08,145.22,133.91
"619",57,3,284.18,291.85,269.02,277.08,269.42,283.41
"620",57,4,140.18,221.05,123.02,167.08,129.92,121.41
"621",57,5,54.18,45.55,23.28,38.09,31.49,43.91
"622",57,6,81.18,95.35,41.09,41.09,89.42,49.41
